table,task,model,field,stat,point,ci_lo,ci_hi,n_groups,n_rows
sanity,pooled,frozen,spearman_vision,median,0.9291749656416273,0.9056128987422997,0.9395896957825909,16,400
sanity,pooled,frozen,spearman_language,median,0.8617644895181933,0.8347107414183901,0.8787005452333704,16,400
sanity,pooled,frozen,spearman_state,median,0.6428571428571429,0.5476190476190477,0.7142857142857144,16,400
sanity,pooled,cascade,spearman_vision,median,0.7130002437841396,0.6959574905153605,0.7385310323707798,16,400
sanity,pooled,cascade,spearman_language,median,0.9101095041225093,0.8961718450322249,0.9206038476413485,16,400
sanity,pooled,cascade,spearman_state,median,0.6428571428571429,0.523809523809524,0.7142857142857144,16,400
