table,task,model,field,stat,point,ci_lo,ci_hi,n_groups,n_rows
baseline,PickCube,170m,rho_black_gray,median,0.8252742755040288,0.8231066337684058,0.8363630889622398,2,30
baseline,PickCube,170m,rho_black_blur,median,0.538894029141511,0.5353634718178636,0.6064105617261847,2,30
baseline,PickCube,170m,rho_gray_blur,median,0.454980140668342,0.4541882033718845,0.48466744555321767,2,30
baseline,StackCube,170m,rho_black_gray,median,0.8142227958978139,0.813961144472993,0.9232013855491846,2,30
baseline,StackCube,170m,rho_black_blur,median,0.5457872189964068,0.5256041095157196,0.5538529231914755,2,30
baseline,StackCube,170m,rho_gray_blur,median,0.49596073585602896,0.4957545714492304,0.49616690026282745,2,30
